OVERLAYS
    ">Saving","> Guardando"
    ">Checking for updates",">Buscando actualizaciones"


BUTTONS
    "> Settings","> Ajustes"


MENU ITEMS
    ">Current page",">Página actual"
    ">Menu",">Menú"
    ">Files",">Archivos"
    ">Themes",">Temas"
    ">Plugins",">Complementos"
    ">Security",">Seguridad"


CURRENT PAGE
    ">Page title",">Título de la página"
    ">Page keywords",">Palabras clave"
    ">Page description",">Descripción"
    "> Delete page","> Borrar página"
    "return confirm\('Delete (.*?)\?'\)","return confirm('Borrar $1?')"


MENU
    ">Website title","> Título del sitio"
    ">Page to display on homepage","> Página principal a mostrar"
    ">visit",">visitar"
    "> Add page","> Añadir página"


FILES
    ">Upload","> Enviar"
    ">Delete files","> Borrar archvios"


THEMES AND PLUGINS
    "> Check for updates","> Preveri posodobitve"
    "return confirm\('Remove (.*?)\?'\)","return confirm('Izbris $1?')"
    ">Active",">V uporabi"
    "return confirm\('Activate (.*?) theme\?'\)","return confirm('Aktiviraj $1?')"
    "> Activate","> Aktiviraj"
    "> More info","> Več informacij"
    "> Install","> Namesti"
    ">Installed version:",">Nameščena verzija:"
    ">Custom repository",">Odlagališče po meri (repository)"
    "Enter URL to custom repository","Vnesi URL za odlagališče"
    "> Add", "> Dodaj"
    "> Read more about custom repositories",">Preberi več o odlagališčih po meri"


SECURITY
    ">Admin login URL","> URL/povezava za vpis"
    ">Save your login URL to log in to your website next time:",">Shrani svojo URL povezavo za ponoven vpis z admin računom"
    ">Password",">Geslo"
    "Old password","Staro geslo"
    "New password","Novo geslo"
    "> Change password","> Spremeni geslo"

    "> How to restore backup","> Kako obnoviti varnostno kopijo"
    ">Improved security \(Apache only\)",">Dodatna varnost (samo Apache serverji)"
    ">HTTPS redirect, 30 day caching, iframes allowed only from same origin, mime type sniffing prevention, stricter cookie and refferer policy.",">HTTPS preusmeritev, 30-dnevno keširanje, iframi dovoljeni samo iz istega izvora."
    ">ON \(warning: may break your website\)",">Vklop (lahko zlomi vaše spletno mesto)"
    ">OFF \(reset htaccess to default\)",">Izklop (resetiraj dodatno varnost)"
    "> Read more before enabling","> Preberi več pred vklopom"
    ">Backup","> Varnostna kopija strani"
    "> Backup website","> Varnostna kopija"
    ">Last 5 logins",">Zadnjih 5 vpisov"


STATISTICS
    ">Statistics",">Estadísticas"
    ">Today",">Hoy"
    ">This week",">Esta semana"
    ">Most popular page",">Página más visitada"
    ">Pageviews last two weeks",">Visitas últimas dos semanas"
    ">Sessions last two weeks",">Sesiones últimas dos semanas"
    ">Sessions",">Sesiones"
    ">Pageviews",">Visitas"


FOOTER
    ">News",">Novedades"
    ">Community",">Foro"
    ">Docs",">Documentación"
    ">Donate",">Donar"
    ">Shop\/Merch",">Tienda"
